gcl_sequence_id	pire_sequence_id	extraction_id	correction_applied	correction_id	correction_details	correction_date
SdA0101402CWGSZ	Sde-AMat_014_Ex1-2C-WGS-2-Zymo	Sde-AMat_014-Ex1	FALSE			
SdA0101502BWGSZ	Sde-AMat_015_Ex1-2B-WGS-2-Zymo	Sde-AMat_015-Ex1	FALSE			
SdA0101602AWGSZ	Sde-AMat_016_Ex1-2A-WGS-2-Zymo	Sde-AMat_016-Ex1	FALSE			
SdA0101703HWGSZ	Sde-AMat_017_Ex1-3H-WGS-2-Zymo	Sde-AMat_017-Ex1	FALSE			
SdA0101803GWGSZ	Sde-AMat_018_Ex1-3G-WGS-2-Zymo	Sde-AMat_018-Ex1	FALSE			
SdA0101903FWGSZ	Sde-AMat_019_Ex1-3F-WGS-2-Zymo	Sde-AMat_019-Ex1	FALSE			
SdA0102003EWGSZ	Sde-AMat_020_Ex1-3E-WGS-2-Zymo	Sde-AMat_020-Ex1	FALSE			
SdA0102103DWGSZ	Sde-AMat_021_Ex1-3D-WGS-2-Zymo	Sde-AMat_021-Ex1	FALSE			
SdA0102203CWGSZ	Sde-AMat_022_Ex1-3C-WGS-2-Zymo	Sde-AMat_022-Ex1	FALSE			
SdA0102303BWGSZ	Sde-AMat_023_Ex1-3B-WGS-2-Zymo	Sde-AMat_023-Ex1	FALSE			
SdA0102403AWGSZ	Sde-AMat_024_Ex1-3A-WGS-2-Zymo	Sde-AMat_024-Ex1	FALSE			
SdA0102504HWGSZ	Sde-AMat_025_Ex1-4H-WGS-2-Zymo	Sde-AMat_025-Ex1	FALSE			
SdA0102604GWGSZ	Sde-AMat_026_Ex1-4G-WGS-2-Zymo	Sde-AMat_026-Ex1	FALSE			
SdA0102704FWGSZ	Sde-AMat_027_Ex1-4F-WGS-2-Zymo	Sde-AMat_027-Ex1	FALSE			
SdA0102804EWGSZ	Sde-AMat_028_Ex1-4E-WGS-2-Zymo	Sde-AMat_028-Ex1	FALSE			
SdA0102904DWGSZ	Sde-AMat_029_Ex1-4D-WGS-2-Zymo	Sde-AMat_029-Ex1	FALSE			
SdA0103004CWGSZ	Sde-AMat_030_Ex1-4C-WGS-2-Zymo	Sde-AMat_030-Ex1	FALSE			
SdA0103104BWGSZ	Sde-AMat_031_Ex1-4B-WGS-2-Zymo	Sde-AMat_031-Ex1	FALSE			
SdA0103204AWGSZ	Sde-AMat_032_Ex1-4A-WGS-2-Zymo	Sde-AMat_032-Ex1	FALSE			
SdA0103305HWGSZ	Sde-AMat_033_Ex1-5H-WGS-2-Zymo	Sde-AMat_033-Ex1	FALSE			
SdA0103405GWGSZ	Sde-AMat_034_Ex1-5G-WGS-2-Zymo	Sde-AMat_034-Ex1	FALSE			
SdA0103505FWGSZ	Sde-AMat_035_Ex1-5F-WGS-2-Zymo	Sde-AMat_035-Ex1	FALSE			
SdA0103605EWGSZ	Sde-AMat_036_Ex1-5E-WGS-2-Zymo	Sde-AMat_036-Ex1	FALSE			
SdA0103705DWGSZ	Sde-AMat_037_Ex1-5D-WGS-2-Zymo	Sde-AMat_037-Ex1	FALSE			
SdA0103805CWGSZ	Sde-AMat_038_Ex1-5C-WGS-2-Zymo	Sde-AMat_038-Ex1	FALSE			
SdA0103905BWGSZ	Sde-AMat_039_Ex1-5B-WGS-2-Zymo	Sde-AMat_039-Ex1	FALSE			
SdA0104005AWGSZ	Sde-AMat_040_Ex1-5A-WGS-2-Zymo	Sde-AMat_040-Ex1	FALSE			
SdA0104106HWGSZ	Sde-AMat_041_Ex1-6H-WGS-2-Zymo	Sde-AMat_041-Ex1	FALSE			
SdA0104206GWGSZ	Sde-AMat_042_Ex1-6G-WGS-2-Zymo	Sde-AMat_042-Ex1	FALSE			
SdA0104306FWGSZ	Sde-AMat_043_Ex1-6F-WGS-2-Zymo	Sde-AMat_043-Ex1	FALSE			
SdA0104406EWGSZ	Sde-AMat_044_Ex1-6E-WGS-2-Zymo	Sde-AMat_044-Ex1	FALSE			
SdA0104506DWGSZ	Sde-AMat_045_Ex1-6D-WGS-2-Zymo	Sde-AMat_045-Ex1	FALSE			
SdA0104606CWGSZ	Sde-AMat_046_Ex1-6C-WGS-2-Zymo	Sde-AMat_046-Ex1	FALSE			
SdA0104706BWGSZ	Sde-AMat_047_Ex1-6B-WGS-2-Zymo	Sde-AMat_047-Ex1	FALSE			
SdA0104806AWGSZ	Sde-AMat_048_Ex1-6A-WGS-2-Zymo	Sde-AMat_048-Ex1	FALSE			
SdA0604907AWGSZ	Sde-AMat_049_Ex1-7A-WGS-2-Zymo	Sde-AMat_049-Ex1	FALSE			
SdA0605007BWGSZ	Sde-AMat_050_Ex1-7B-WGS-2-Zymo	Sde-AMat_050-Ex1	FALSE			
SdA0605107CWGSZ	Sde-AMat_051_Ex1-7C-WGS-2-Zymo	Sde-AMat_051-Ex1	FALSE			
SdA0605207DWGSZ	Sde-AMat_052_Ex1-7D-WGS-2-Zymo	Sde-AMat_052-Ex1	FALSE			
SdA0605307EWGSZ	Sde-AMat_053_Ex1-7E-WGS-2-Zymo	Sde-AMat_053-Ex1	FALSE			
SdA0605407FWGSZ	Sde-AMat_054_Ex1-7F-WGS-2-Zymo	Sde-AMat_054-Ex1	FALSE			
SdA0605507GWGSZ	Sde-AMat_055_Ex1-7G-WGS-2-Zymo	Sde-AMat_055-Ex1	FALSE			
SdA0605607HWGSZ	Sde-AMat_056_Ex1-7H-WGS-2-Zymo	Sde-AMat_056-Ex1	FALSE			
SdA0605708AWGSZ	Sde-AMat_057_Ex1-8A-WGS-2-Zymo	Sde-AMat_057-Ex1	FALSE			
SdA0605808BWGSZ	Sde-AMat_058_Ex1-8B-WGS-2-Zymo	Sde-AMat_058-Ex1	FALSE			
SdA0605908CWGSZ	Sde-AMat_059_Ex1-8C-WGS-2-Zymo	Sde-AMat_059-Ex1	FALSE			
SdA0606008DWGSZ	Sde-AMat_060_Ex1-8D-WGS-2-Zymo	Sde-AMat_060-Ex1	FALSE			
SdA0606108EWGSZ	Sde-AMat_061_Ex1-8E-WGS-2-Zymo	Sde-AMat_061-Ex1	FALSE			
SdA0606208FWGSZ	Sde-AMat_062_Ex1-8F-WGS-2-Zymo	Sde-AMat_062-Ex1	FALSE			
SdA0606308GWGSZ	Sde-AMat_063_Ex1-8G-WGS-2-Zymo	Sde-AMat_063-Ex1	FALSE			
SdA0606408HWGSZ	Sde-AMat_064_Ex1-8H-WGS-2-Zymo	Sde-AMat_064-Ex1	FALSE			
SdA0606509AWGSZ	Sde-AMat_065_Ex1-9A-WGS-2-Zymo	Sde-AMat_065-Ex1	FALSE			
SdA0606609BWGSZ	Sde-AMat_066_Ex1-9B-WGS-2-Zymo	Sde-AMat_066-Ex1	FALSE			
SdA0606709CWGSZ	Sde-AMat_067_Ex1-9C-WGS-2-Zymo	Sde-AMat_067-Ex1	FALSE			
SdA0606809DWGSZ	Sde-AMat_068_Ex1-9D-WGS-2-Zymo	Sde-AMat_068-Ex1	FALSE			
SdA0606909EWGSZ	Sde-AMat_069_Ex1-9E-WGS-2-Zymo	Sde-AMat_069-Ex1	FALSE			
SdA0607009FWGSZ	Sde-AMat_070_Ex1-9F-WGS-2-Zymo	Sde-AMat_070-Ex1	FALSE			
SdA0607109GWGSZ	Sde-AMat_071_Ex1-9G-WGS-2-Zymo	Sde-AMat_071-Ex1	FALSE			
SdA0607209HWGSZ	Sde-AMat_072_Ex1-9H-WGS-2-Zymo	Sde-AMat_072-Ex1	FALSE			
SdA0607310AWGSZ	Sde-AMat_073_Ex1-10A-WGS-2-Zymo	Sde-AMat_073-Ex1	FALSE			
SdA0607410BWGSZ	Sde-AMat_074_Ex1-10B-WGS-2-Zymo	Sde-AMat_074-Ex1	FALSE			
SdA0607510CWGSZ	Sde-AMat_075_Ex1-10C-WGS-2-Zymo	Sde-AMat_075-Ex1	FALSE			
SdA0607610DWGSZ	Sde-AMat_076_Ex1-10D-WGS-2-Zymo	Sde-AMat_076-Ex1	FALSE			
SdA0607710EWGSZ	Sde-AMat_077_Ex1-10E-WGS-2-Zymo	Sde-AMat_077-Ex1	FALSE			
SdA0607810FWGSZ	Sde-AMat_078_Ex1-10F-WGS-2-Zymo	Sde-AMat_078-Ex1	FALSE			
SdA0607910GWGSZ	Sde-AMat_079_Ex1-10G-WGS-2-Zymo	Sde-AMat_079-Ex1	FALSE			
SdA0608010HWGSZ	Sde-AMat_080_Ex1-10H-WGS-2-Zymo	Sde-AMat_080-Ex1	FALSE			
SdA0608111AWGSZ	Sde-AMat_081_Ex1-11A-WGS-2-Zymo	Sde-AMat_081-Ex1	FALSE			
SdA0608211BWGSZ	Sde-AMat_082_Ex1-11B-WGS-2-Zymo	Sde-AMat_082-Ex1	FALSE			
SdA0608311CWGSZ	Sde-AMat_083_Ex1-11C-WGS-2-Zymo	Sde-AMat_083-Ex1	FALSE			
SdA0608411DWGSZ	Sde-AMat_084_Ex1-11D-WGS-2-Zymo	Sde-AMat_084-Ex1	FALSE			
SdA0608511EWGSZ	Sde-AMat_085_Ex1-11E-WGS-2-Zymo	Sde-AMat_085-Ex1	FALSE			
SdA0608611FWGSZ	Sde-AMat_086_Ex1-11F-WGS-2-Zymo	Sde-AMat_086-Ex1	FALSE			
SdA0608711GWGSZ	Sde-AMat_087_Ex1-11G-WGS-2-Zymo	Sde-AMat_087-Ex1	FALSE			
SdA0608811HWGSZ	Sde-AMat_088_Ex1-11H-WGS-2-Zymo	Sde-AMat_088-Ex1	FALSE			
SdA0608912AWGSZ	Sde-AMat_089_Ex1-12A-WGS-2-Zymo	Sde-AMat_089-Ex1	FALSE			
SdA0609012BWGSZ	Sde-AMat_090_Ex1-12B-WGS-2-Zymo	Sde-AMat_090-Ex1	FALSE			
SdA0609112CWGSZ	Sde-AMat_091_Ex1-12C-WGS-2-Zymo	Sde-AMat_091-Ex1	FALSE			
SdA0609212DWGSZ	Sde-AMat_092_Ex1-12D-WGS-2-Zymo	Sde-AMat_092-Ex1	FALSE			
SdA0609312EWGSZ	Sde-AMat_093_Ex1-12E-WGS-2-Zymo	Sde-AMat_093-Ex1	FALSE			
SdA0609412FWGSZ	Sde-AMat_094_Ex1-12F-WGS-2-Zymo	Sde-AMat_094-Ex1	FALSE			
SdA0609512GWGSZ	Sde-AMat_095_Ex1-12G-WGS-2-Zymo	Sde-AMat_095-Ex1	FALSE			
SdA0609612HWGSZ	Sde-AMat_096_Ex1-12H-WGS-2-Zymo	Sde-AMat_096-Ex1	FALSE			
SdA0900101AWGSU	Sde-ASac_001-Ex1-1A-WGS-2-Untreated	Sde-ASac_001-Ex1	FALSE			
SdA0900101AWGSZ	Sde-ASac_001-Ex1-1A-WGS-3-Zymo	Sde-ASac_001-Ex1	FALSE			
SdA0900202AWGSU	Sde-ASac_002-Ex1-2A-WGS-2-Untreated	Sde-ASac_002-Ex1	FALSE			
SdA0900202AWGSZ	Sde-ASac_002-Ex1-2A-WGS-3-Zymo	Sde-ASac_002-Ex1	FALSE			
SdA0900303AWGSU	Sde-ASac_003-Ex1-3A-WGS-2-Untreated	Sde-ASac_003-Ex1	FALSE			
SdA0900303AWGSZ	Sde-ASac_003-Ex1-3A-WGS-3-Zymo	Sde-ASac_003-Ex1	FALSE			
SdA0900404AWGSU	Sde-ASac_004-Ex1-4A-WGS-2-Untreated	Sde-ASac_004-Ex1	FALSE			
SdA0900404AWGSZ	Sde-ASac_004-Ex1-4A-WGS-3-Zymo	Sde-ASac_004-Ex1	FALSE			
SdA0900505AWGSU	Sde-ASac_005-Ex1-5A-WGS-2-Untreated	Sde-ASac_005-Ex1	FALSE			
SdA0900505AWGSZ	Sde-ASac_005-Ex1-5A-WGS-3-Zymo	Sde-ASac_005-Ex1	FALSE			
SdA0900606AWGSU	Sde-ASac_006-Ex1-6A-WGS-2-Untreated	Sde-ASac_006-Ex1	FALSE			
SdA0900606AWGSZ	Sde-ASac_006-Ex1-6A-WGS-3-Zymo	Sde-ASac_006-Ex1	FALSE			
SdA0900707AWGSU	Sde-ASac_007-Ex1-7A-WGS-2-Untreated	Sde-ASac_007-Ex1	FALSE			
SdA0900707AWGSZ	Sde-ASac_007-Ex1-7A-WGS-3-Zymo	Sde-ASac_007-Ex1	FALSE			
SdA0900808AWGSU	Sde-ASac_008-Ex1-8A-WGS-2-Untreated	Sde-ASac_008-Ex1	FALSE			
SdA0900808AWGSZ	Sde-ASac_008-Ex1-8A-WGS-3-Zymo	Sde-ASac_008-Ex1	FALSE			
SdA0900909AWGSU	Sde-ASac_009-Ex1-9A-WGS-2-Untreated	Sde-ASac_009-Ex1	FALSE			
SdA0900909AWGSZ	Sde-ASac_009-Ex1-9A-WGS-3-Zymo	Sde-ASac_009-Ex1	FALSE			
SdA0901010AWGSU	Sde-ASac_010-Ex1-10A-WGS-2-Untreated	Sde-ASac_010-Ex1	FALSE			
SdA0901010AWGSZ	Sde-ASac_010-Ex1-10A-WGS-3-Zymo	Sde-ASac_010-Ex1	FALSE			
SdA0901111AWGSU	Sde-ASac_011-Ex1-11A-WGS-2-Untreated	Sde-ASac_011-Ex1	FALSE			
SdA0901111AWGSZ	Sde-ASac_011-Ex1-11A-WGS-3-Zymo	Sde-ASac_011-Ex1	FALSE			
SdA0901212AWGSU	Sde-ASac_012-Ex1-12A-WGS-2-Untreated	Sde-ASac_012-Ex1	FALSE			
SdA0901212AWGSZ	Sde-ASac_012-Ex1-12A-WGS-3-Zymo	Sde-ASac_012-Ex1	FALSE			
SdA0901301BWGSU	Sde-ASac_013-Ex1-1B-WGS-2-Untreated	Sde-ASac_013-Ex1	FALSE			
SdA0901301BWGSZ	Sde-ASac_013-Ex1-1B-WGS-3-Zymo	Sde-ASac_013-Ex1	FALSE			
SdA0901402BWGSU	Sde-ASac_014-Ex1-2B-WGS-2-Untreated	Sde-ASac_014-Ex1	FALSE			
SdA0901402BWGSZ	Sde-ASac_014-Ex1-2B-WGS-3-Zymo	Sde-ASac_014-Ex1	FALSE			
SdA0901503BWGSU	Sde-ASac_015-Ex1-3B-WGS-2-Untreated	Sde-ASac_015-Ex1	FALSE			
SdA0901503BWGSZ	Sde-ASac_015-Ex1-3B-WGS-3-Zymo	Sde-ASac_015-Ex1	FALSE			
SdA0901604BWGSU	Sde-ASac_016-Ex1-4B-WGS-2-Untreated	Sde-ASac_016-Ex1	FALSE			
SdA0901604BWGSZ	Sde-ASac_016-Ex1-4B-WGS-3-Zymo	Sde-ASac_016-Ex1	FALSE			
SdA0901705BWGSU	Sde-ASac_017-Ex1-5B-WGS-2-Untreated	Sde-ASac_017-Ex1	FALSE			
SdA0901705BWGSZ	Sde-ASac_017-Ex1-5B-WGS-3-Zymo	Sde-ASac_017-Ex1	FALSE			
SdA0901806BWGSU	Sde-ASac_018-Ex1-6B-WGS-2-Untreated	Sde-ASac_018-Ex1	FALSE			
SdA0901806BWGSZ	Sde-ASac_018-Ex1-6B-WGS-3-Zymo	Sde-ASac_018-Ex1	FALSE			
SdA0901907BWGSU	Sde-ASac_019-Ex1-7B-WGS-2-Untreated	Sde-ASac_019-Ex1	FALSE			
SdA0901907BWGSZ	Sde-ASac_019-Ex1-7B-WGS-3-Zymo	Sde-ASac_019-Ex1	FALSE			
SdA0902008BWGSU	Sde-ASac_020-Ex1-8B-WGS-2-Untreated	Sde-ASac_020-Ex1	FALSE			
SdA0902008BWGSZ	Sde-ASac_020-Ex1-8B-WGS-3-Zymo	Sde-ASac_020-Ex1	FALSE			
SdA0902109BWGSU	Sde-ASac_021-Ex1-9B-WGS-2-Untreated	Sde-ASac_021-Ex1	FALSE			
SdA0902109BWGSZ	Sde-ASac_021-Ex1-9B-WGS-3-Zymo	Sde-ASac_021-Ex1	FALSE			
SdA0902210BWGSU	Sde-ASac_022-Ex1-10B-WGS-2-Untreated	Sde-ASac_022-Ex1	FALSE			
SdA0902210BWGSZ	Sde-ASac_022-Ex1-10B-WGS-3-Zymo	Sde-ASac_022-Ex1	FALSE			
SdA0902311BWGSU	Sde-ASac_023-Ex1-11B-WGS-2-Untreated	Sde-ASac_023-Ex1	FALSE			
SdA0902311BWGSZ	Sde-ASac_023-Ex1-11B-WGS-3-Zymo	Sde-ASac_023-Ex1	FALSE			
SdA0902412BWGSU	Sde-ASac_024-Ex1-12B-WGS-2-Untreated	Sde-ASac_024-Ex1	FALSE			
SdA0902412BWGSZ	Sde-ASac_024-Ex1-12B-WGS-3-Zymo	Sde-ASac_024-Ex1	FALSE			
SdA0902501CWGSU	Sde-ASac_025-Ex1-1C-WGS-2-Untreated	Sde-ASac_025-Ex1	FALSE			
SdA0902501CWGSZ	Sde-ASac_025-Ex1-1C-WGS-3-Zymo	Sde-ASac_025-Ex1	FALSE			
SdA0902602CWGSU	Sde-ASac_026-Ex1-2C-WGS-2-Untreated	Sde-ASac_026-Ex1	FALSE			
SdA0902602CWGSZ	Sde-ASac_026-Ex1-2C-WGS-3-Zymo	Sde-ASac_026-Ex1	FALSE			
SdA0902703CWGSU	Sde-ASac_027-Ex1-3C-WGS-2-Untreated	Sde-ASac_027-Ex1	FALSE			
SdA0902703CWGSZ	Sde-ASac_027-Ex1-3C-WGS-3-Zymo	Sde-ASac_027-Ex1	FALSE			
SdA0902804CWGSU	Sde-ASac_028-Ex1-4C-WGS-2-Untreated	Sde-ASac_028-Ex1	FALSE			
SdA0902804CWGSZ	Sde-ASac_028-Ex1-4C-WGS-3-Zymo	Sde-ASac_028-Ex1	FALSE			
SdA0902905CWGSU	Sde-ASac_029-Ex1-5C-WGS-2-Untreated	Sde-ASac_029-Ex1	FALSE			
SdA0902905CWGSZ	Sde-ASac_029-Ex1-5C-WGS-3-Zymo	Sde-ASac_029-Ex1	FALSE			
SdA0903006CWGSU	Sde-ASac_030-Ex1-6C-WGS-2-Untreated	Sde-ASac_030-Ex1	FALSE			
SdA0903006CWGSZ	Sde-ASac_030-Ex1-6C-WGS-3-Zymo	Sde-ASac_030-Ex1	FALSE			
SdA0903107CWGSU	Sde-ASac_031-Ex1-7C-WGS-2-Untreated	Sde-ASac_031-Ex1	FALSE			
SdA0903107CWGSZ	Sde-ASac_031-Ex1-7C-WGS-3-Zymo	Sde-ASac_031-Ex1	FALSE			
SdA0903208CWGSU	Sde-ASac_032-Ex1-8C-WGS-2-Untreated	Sde-ASac_032-Ex1	FALSE			
SdA0903208CWGSZ	Sde-ASac_032-Ex1-8C-WGS-3-Zymo	Sde-ASac_032-Ex1	FALSE			
SdA0903309CWGSU	Sde-ASac_033-Ex1-9C-WGS-2-Untreated	Sde-ASac_033-Ex1	FALSE			
SdA0903309CWGSZ	Sde-ASac_033-Ex1-9C-WGS-3-Zymo	Sde-ASac_033-Ex1	FALSE			
SdA0903410CWGSU	Sde-ASac_034-Ex1-10C-WGS-2-Untreated	Sde-ASac_034-Ex1	FALSE			
SdA0903410CWGSZ	Sde-ASac_034-Ex1-10C-WGS-3-Zymo	Sde-ASac_034-Ex1	FALSE			
SdA0903511CWGSU	Sde-ASac_035-Ex1-11C-WGS-2-Untreated	Sde-ASac_035-Ex1	FALSE			
SdA0903511CWGSZ	Sde-ASac_035-Ex1-11C-WGS-3-Zymo	Sde-ASac_035-Ex1	FALSE			
SdA0903612CWGSU	Sde-ASac_036-Ex1-12C-WGS-2-Untreated	Sde-ASac_036-Ex1	FALSE			
SdA0903612CWGSZ	Sde-ASac_036-Ex1-12C-WGS-3-Zymo	Sde-ASac_036-Ex1	FALSE			
SdA0903701DWGSU	Sde-ASac_037-Ex1-1D-WGS-2-Untreated	Sde-ASac_037-Ex1	FALSE			
SdA0903701DWGSZ	Sde-ASac_037-Ex1-1D-WGS-3-Zymo	Sde-ASac_037-Ex1	FALSE			
SdA0903802DWGSU	Sde-ASac_038-Ex1-2D-WGS-2-Untreated	Sde-ASac_038-Ex1	FALSE			
SdA0903802DWGSZ	Sde-ASac_038-Ex1-2D-WGS-3-Zymo	Sde-ASac_038-Ex1	FALSE			
SdA0903903DWGSU	Sde-ASac_039-Ex1-3D-WGS-2-Untreated	Sde-ASac_039-Ex1	FALSE			
SdA0903903DWGSZ	Sde-ASac_039-Ex1-3D-WGS-3-Zymo	Sde-ASac_039-Ex1	FALSE			
SdA0904004DWGSU	Sde-ASac_040-Ex1-4D-WGS-2-Untreated	Sde-ASac_040-Ex1	FALSE			
SdA0904004DWGSZ	Sde-ASac_040-Ex1-4D-WGS-3-Zymo	Sde-ASac_040-Ex1	FALSE			
SdA0904105DWGSU	Sde-ASac_041-Ex1-5D-WGS-2-Untreated	Sde-ASac_041-Ex1	FALSE			
SdA0904105DWGSZ	Sde-ASac_041-Ex1-5D-WGS-3-Zymo	Sde-ASac_041-Ex1	FALSE			
SdA0904206DWGSU	Sde-ASac_042-Ex1-6D-WGS-2-Untreated	Sde-ASac_042-Ex1	FALSE			
SdA0904206DWGSZ	Sde-ASac_042-Ex1-6D-WGS-3-Zymo	Sde-ASac_042-Ex1	FALSE			
SdA0904307DWGSU	Sde-ASac_043-Ex1-7D-WGS-2-Untreated	Sde-ASac_043-Ex1	FALSE			
SdA0904307DWGSZ	Sde-ASac_043-Ex1-7D-WGS-3-Zymo	Sde-ASac_043-Ex1	FALSE			
SdA0904408DWGSU	Sde-ASac_044-Ex1-8D-WGS-2-Untreated	Sde-ASac_044-Ex1	FALSE			
SdA0904408DWGSZ	Sde-ASac_044-Ex1-8D-WGS-3-Zymo	Sde-ASac_044-Ex1	FALSE			
SdA0904509DWGSU	Sde-ASac_045-Ex1-9D-WGS-2-Untreated	Sde-ASac_045-Ex1	FALSE			
SdA0904509DWGSZ	Sde-ASac_045-Ex1-9D-WGS-3-Zymo	Sde-ASac_045-Ex1	FALSE			
SdA0904610DWGSU	Sde-ASac_046-Ex1-10D-WGS-2-Untreated	Sde-ASac_046-Ex1	FALSE			
SdA0904610DWGSZ	Sde-ASac_046-Ex1-10D-WGS-3-Zymo	Sde-ASac_046-Ex1	FALSE			
SdA0904711DWGSU	Sde-ASac_047-Ex1-11D-WGS-2-Untreated	Sde-ASac_047-Ex1	FALSE			
SdA0904711DWGSZ	Sde-ASac_047-Ex1-11D-WGS-3-Zymo	Sde-ASac_047-Ex1	FALSE			
SdA0904812DWGSU	Sde-ASac_048-Ex1-12D-WGS-2-Untreated	Sde-ASac_048-Ex1	FALSE			
SdA0904812DWGSZ	Sde-ASac_048-Ex1-12D-WGS-3-Zymo	Sde-ASac_048-Ex1	FALSE			
SdA0904901EWGSU	Sde-ASac_049-Ex1-1E-WGS-2-Untreated	Sde-ASac_049-Ex1	FALSE			
SdA0904901EWGSZ	Sde-ASac_049-Ex1-1E-WGS-3-Zymo	Sde-ASac_049-Ex1	FALSE			
SdA0905002EWGSU	Sde-ASac_050-Ex1-2E-WGS-2-Untreated	Sde-ASac_050-Ex1	FALSE			
SdA0905002EWGSZ	Sde-ASac_050-Ex1-2E-WGS-3-Zymo	Sde-ASac_050-Ex1	FALSE			
SdA0905103EWGSU	Sde-ASac_051-Ex1-3E-WGS-2-Untreated	Sde-ASac_051-Ex1	FALSE			
SdA0905103EWGSZ	Sde-ASac_051-Ex1-3E-WGS-3-Zymo	Sde-ASac_051-Ex1	FALSE			
SdA0905204EWGSU	Sde-ASac_052-Ex1-4E-WGS-2-Untreated	Sde-ASac_052-Ex1	FALSE			
SdA0905204EWGSZ	Sde-ASac_052-Ex1-4E-WGS-3-Zymo	Sde-ASac_052-Ex1	FALSE			
SdA0905305EWGSU	Sde-ASac_053-Ex1-5E-WGS-2-Untreated	Sde-ASac_053-Ex1	FALSE			
SdA0905305EWGSZ	Sde-ASac_053-Ex1-5E-WGS-3-Zymo	Sde-ASac_053-Ex1	FALSE			
SdA0905406EWGSU	Sde-ASac_054-Ex1-6E-WGS-2-Untreated	Sde-ASac_054-Ex1	FALSE			
SdA0905406EWGSZ	Sde-ASac_054-Ex1-6E-WGS-3-Zymo	Sde-ASac_054-Ex1	FALSE			
SdA0905507EWGSU	Sde-ASac_055-Ex1-7E-WGS-2-Untreated	Sde-ASac_055-Ex1	FALSE			
SdA0905507EWGSZ	Sde-ASac_055-Ex1-7E-WGS-3-Zymo	Sde-ASac_055-Ex1	FALSE			
SdA0905608EWGSU	Sde-ASac_056-Ex1-8E-WGS-2-Untreated	Sde-ASac_056-Ex1	FALSE			
SdA0905608EWGSZ	Sde-ASac_056-Ex1-8E-WGS-3-Zymo	Sde-ASac_056-Ex1	FALSE			
SdA0905709EWGSU	Sde-ASac_057-Ex1-9E-WGS-2-Untreated	Sde-ASac_057-Ex1	FALSE			
SdA0905709EWGSZ	Sde-ASac_057-Ex1-9E-WGS-3-Zymo	Sde-ASac_057-Ex1	FALSE			
SdA0905810EWGSU	Sde-ASac_058-Ex1-10E-WGS-2-Untreated	Sde-ASac_058-Ex1	FALSE			
SdA0905810EWGSZ	Sde-ASac_058-Ex1-10E-WGS-3-Zymo	Sde-ASac_058-Ex1	FALSE			
SdA0905911EWGSU	Sde-ASac_059-Ex1-11E-WGS-2-Untreated	Sde-ASac_059-Ex1	FALSE			
SdA0905911EWGSZ	Sde-ASac_059-Ex1-11E-WGS-3-Zymo	Sde-ASac_059-Ex1	FALSE			
SdA0906012EWGSU	Sde-ASac_060-Ex1-12E-WGS-2-Untreated	Sde-ASac_060-Ex1	FALSE			
SdA0906012EWGSZ	Sde-ASac_060-Ex1-12E-WGS-3-Zymo	Sde-ASac_060-Ex1	FALSE			
SdA0906101FWGSU	Sde-ASac_061-Ex1-1F-WGS-2-Untreated	Sde-ASac_061-Ex1	FALSE			
