extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse
Adu-AGui_034-Ex1	Adu-AGui_034-Ex1-4C-lcwgs-1-1	/archive/carpenterlab/pire/pire_atherinomorus_duodecimalis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Adu-AGui_034-Ex1-4C-lcwgs-1-1.1.fq.gz	Adu-AGui_034-Ex1-4C-lcwgs-1-1.2.fq.gz
Hte-CTaw_086-Ex1	Hte-CTaw_086-Ex1-10A-lcwgs-1-2	/archive/carpenterlab/pire/pire_hypoatherina_temminckii_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Hte-CTaw_086-Ex1-10A-lcwgs-1-2.1.fq.gz	Hte-CTaw_086-Ex1-10A-lcwgs-1-2.2.fq.gz
Abu-APnd_033-Ex1	Abu-APnd_033-Ex1-7A-lcwgs-1-2	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Abu-APnd_033-Ex1-7A-lcwgs-1-2.1.fq.gz	Abu-APnd_033-Ex1-7A-lcwgs-1-2.2.fq.gz
Pba-ABir_009-Ex1	Pba-ABir_009-Ex1-5D-lcwgs_L6	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-ABir_009-Ex1-5D-lcwgs_L6_1.fq.gz	Pba-ABir_009-Ex1-5D-lcwgs_L6_2.fq.gz
Abu-APnd_001-Ex1	Abu-APnd_001-Ex1-4E-lcwgs-1-T	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	file_pair.32	Abu-APnd_001-Ex1-4E-lcwgs-1-T.1.fq.gz	Abu-APnd_001-Ex1-4E-lcwgs-1-T.2.fq.gz
Abu-APnd_001-Ex1	AbA0600104E_CKDL230010744-1A_HJJH2CCX2_L8	/archive/carpenterlab/pire/pire_ambassis_buruensis_lcwgs/1st_sequencing_run/fq_raw/fq_raw	wahab	lcwgs	file_pair.32	AbA0600104E_CKDL230010744-1A_HJJH2CCX2_L8_1.fq.gz	AbA0600104E_CKDL230010744-1A_HJJH2CCX2_L8_2.fq.gz
Och-ATum_008-Ex1	Och-ATum_008-Ex1-1E-lcwgs-2-1	/archive/carpenterlab/pire/pire_ostorhinchus_chrysopomus_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Och-ATum_008-Ex1-1E-lcwgs-2-1.1.fq.gz	Och-ATum_008-Ex1-1E-lcwgs-2-1.2.fq.gz
Tzo-AMta_029-Ex1	Tzo_AMta_029_Ex1_8H_lcwgs_1_2_L5	/archive/carpenterlab/pire/pire_taeniamia_zosterophora_lcwgs/2nd_sequencing_run/fq_raw/AMta	wahab	lcwgs	NA	Tzo_AMta_029_Ex1_8H_lcwgs_1_2_L5-1.fq.gz	Tzo_AMta_029_Ex1_8H_lcwgs_1_2_L5-2.fq.gz
Pba-CTat_051-Ex1	Pba-CTat_051-Ex1-7A-lcwgs_L5	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-CTat_051-Ex1-7A-lcwgs_L5_1.fq.gz	Pba-CTat_051-Ex1-7A-lcwgs_L5_2.fq.gz
Zdi-CDup_017-Ex1	Zdi-CDup_017-Ex1-7C-lcwgs-1-2	/archive/carpenterlab/pire/pire_zenarchopterus_dispar_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Zdi-CDup_017-Ex1-7C-lcwgs-1-2.1.fq.gz	Zdi-CDup_017-Ex1-7C-lcwgs-1-2.2.fq.gz
Sgr-CJol_092-Ex1	Sgr-CJol_092-Ex1-6G-lwgs-1-1	/archive/carpenterlab/pire/pire_spratelloides_gracilis_lcwgs/1st_sequencing_run/fq_raw	wahab	lcwgs	NA	Sgr-CJol_092-Ex1-6G-lwgs-1-1.1.fq.gz	Sgr-CJol_092-Ex1-6G-lwgs-1-1.2.fq.gz
Pba-ABir_014-Ex1	Pba-ABir_014-Ex1-6A-lcwgs_L7	/archive/carpenterlab/pire/pire_pomacentrus_brachialis_lcwgs/2nd_sequencing_run/fq_raw	wahab	lcwgs	NA	Pba-ABir_014-Ex1-6A-lcwgs_L7_1.fq.gz	Pba-ABir_014-Ex1-6A-lcwgs_L7_2.fq.gz
Tcr-CJol_006-Ex1	Tcr-CJol_006-Ex1-2C-ssl-1-1	/RC/group/rc_carpenterlab_ngs/shotgun_PIRE/pire_ssl_data_processing/tylosurus_crocodilus/fq_raw_ssl	wahab	ssl	file_pair.39	Tcr-CJol_006-Ex1-2C-ssl-1-1.1.fq.gz	Tcr-CJol_006-Ex1-2C-ssl-1-1.2.fq.gz
Tcr-CJol_006-Ex1	Tcr-CJol_006-Ex1-2C-ssl-1-1	/home/e1garcia/shotgun_PIRE/pire_ssl_data_processing/tylosurus_crocodilus/shotgun_raw_fq	wahab	ssl	file_pair.39	Tcr-CJol_006-Ex1-2C-ssl-1-1.1.fq.gz	Tcr-CJol_006-Ex1-2C-ssl-1-1.2.fq.gz
