extraction_id	file_prefix	hpc_path	hpc_name	sequencing_type	duplicated_sequence_pair	file_forward	file_reverse	correction_applied	correction_id	correction_details	correction_date
Sde-AGui_022-Ex1	SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_022-Ex1	SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702207AWGSU_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_023-Ex1	SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_023-Ex1	SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702303GWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_023-Ex1	SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_023-Ex1	SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702307BWGSU_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_024-Ex1	SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_024-Ex1	SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702403HWGSZ_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
Sde-AGui_024-Ex1	SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L4	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L4_1.fq.gz	SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L4_2.fq.gz	FALSE			
Sde-AGui_024-Ex1	SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L5	/archive/carpenterlab/pire/raw_sequence_archive/spratelloides_delicatulus/20260629_Sde-lcwgs	wahab	lcwgs		SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L5_1.fq.gz	SdA0702407CWGSU_WKDL260008953-1A_237VHMLT4_L5_2.fq.gz	FALSE			
