Lot_ID	collection_year_start	collection_month_start	collection_day_start	collection_year_end	collection_month_end	collection_day_end	Date_Collected	Collection_era	Collector	Species_verified	Physical_location_of_lot	check_location?	Freezer_Location	Box_ID	Bottles	Storage_solution	Type_of_Study	ODU_collection_catalog_number	Individuals	Size-USNM_(mm)	size_direct_observation_(mm)	Species_valid_name_majority	Collection_site	Site_ID	Match_ID	latitude	longitude	Lot_status	Priority	project_owner	Notes	Collection_status	Duplicate_count
Boh-2021-02_01	2021	11	6	2021	11	6	44506	Contemporary	Kent	Kent	ODU	NA	NA	NA	1	DESS	PIRE	Boh-2021-02_01	110	NA	NA	Ambassis_buruensis	Pandanon_Id	Pnd	Pand	10.1727237	124.078053	see_notes	1	John_Whalen	MitoZ successfully identified the COI sequence of 31 samples. These all identified as Ambassis urotaenia. Single_supraorbital_spine._LL_interrupted._2_rows_of_cheek_scales._Margin_of_interopercle_smooth._Dark_pigmentation_in_between_most_of_the_length_of_the_II_and_III_df_spines_(consistent_with_photos_and_illustrations_of_A._buruensis.	NA	NA
180035	1909	3	10	1909	3	10	3357	Albatross	Albatross	Kent_Jem_1/13/2022.	ODU	Y	NA	NA	NA	EtOH	PIRE	NA	37	NA	NA	Ambassis_buruensis	Ragay_River	Rag	RagR	13.8105766	122.72906	Lib_Prep1	2	NA	ID_checked_10_individuals_(#7,_14,_25,_34,_33,_32_,31,_23,_21,_22)_and_found_the_ff._characters:_1_supraorbital_spine,_cheek_w/_2_rows_of_scales,_LL_interrupted_&_margin_of_interopercle_smooth.	Lib_Prep1	NA
180037	1908	12	31	1908	12	31	3288	Albatross	Albatross	Kent_on_12/1/21	ODU	Y	NA	NA	1	EtOH	PIRE	NA	118	NA	33-41	Ambassis_buruensis/gymnocephalus	Nakoda_Bay	Nak	Nako	9.291119	117.958053	to_collect	2	NA	Probably_A._gymnocephalus._3_supraorbital_spines._2_rows_of_scales_on_cheeks._LL_interrupted._Hind_margin_of_preopercle_smooth._9_soft_rays_in_the_Dorsal_fin._Dark_pigmentation_only_at_distal_tip_of_longest_spines_in_dorsal_fin_(NOT_consistent_with_A._bururensis)	to_collect	NA
Cam-2019-012_017	2019	6	22	2019	6	22	43638	Contemporary	Abner_Jem_John_Rene	Jem_1/13/2022	ODU	Check_subsampled	1.3.2.2	37	4	EtOH	PIRE	Cam-2019-12_(017)	105	NA	NA	Ambassis_buruensis/gymnocephalus	Pasacao	Pas	RagR	NA	NA	Lib_Prep1	1	NA	DO_NOT_PROCESS._Identified_as_A._gymnocephalus_by_Jem_1/13/2022	NA	NA
180064	1907	12	31	1907	12	31	2922	Albatross	Albatross	MK_11/8/17_ID_ok	USNM	NA	NA	NA	1	EtOH	PIRE	NA	46	52	NA	Ambassis_gymnocephalus	Manila_Bay	Mnl	NA	14.5784224	120.965873	to_collect	3	NA	NA	to_collect	NA
180076	1907	12	6	1907	12	6	2897	Albatross	Albatross	MK_11/2/17_ID_ok	USNM	NA	NA	NA	1	EtOH	PIRE	NA	43	50	NA	Ambassis_gymnocephalus	Manila_Bay	Mnl	NA	14.5784224	120.965873	to_collect	3	NA	NA	to_collect	NA
180126	1909	3	5	1909	3	5	3352	Albatross	Albatross	MK_11/16/17_ID_ok	USNM	NA	NA	NA	1	EtOH	PIRE	NA	35	60	NA	Ambassis_interrupta	Alimango_Bay	Bur	Buri	13.0911153	122.951328	collected	2	NA	NA	collected	NA
Cor-2022-01_002	2022	8	5	2022	8	5	44778	Contemporary	Jem_Chandy	JGB & CJ	ODU	NA	NA	NA	1	DESS	PIRE	COR-2022-01_002	8	NA	NA	Ambassis_interrupta	Barangay_Tagumpay	Cor	NA	NA	NA	NA	NA	NA	Only_8_individuals._Need_to_confirm_ID.	NA	NA
180120	1908	12	22	1908	12	22	3279	Albatross	Albatross	KEC_3/23/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	31	NA	22-66_most_larger	Ambassis_interrupta	Endeavor_Strait	End	Mala	10.9551086	119.305553	to_collect	2	NA	Confirmed_ID.	to_collect	0
180127	1908	12	25	1908	12	25	3282	Albatross	Albatross	KEC_1/3/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	25	NA	69-99_most_larger	Ambassis_interrupta	Pancol	Mal	Mala	10.869482	119.415202	to_collect	2	NA	USNM_to_ship_to_us	to_collect	0
Mas-2022-03_03	2022	4	19	2022	4	19	44670	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	MAS-2022-03_03	100	NA	NA	Ambassis_interrupta	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
180123	1908	12	16	1908	12	16	3273	Albatross	Albatross	KEC_3/23/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	97	NA	19-58_most_small-mid	Ambassis_interrupta	Port_Caltom	Bus	Busu	11.9943675	120.210059	to_collect	2	NA	Confirmed_ID.	to_collect	NA
Rag-2022-02_02	2022	4	23	2022	4	23	44674	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	RAG-2022-02_02	104	NA	NA	Ambassis_interrupta	Ragay	NA	NA	13.8105766	122.72906	pending	NA	NA	caught by local fishers near Ragay River	NA	NA
180121	1909	3	10	1909	3	10	3357	Albatross	Albatross	NA	NA	NA	NA	NA	1	EtOH	PIRE	NA	23	NA	NA	Ambassis_interrupta	Ragay_River	Rag	NA	13.7915294	122.73659	collected	2	NA	NA	collected	NA
180128	1909	3	10	1909	3	10	3357	Albatross	Albatross	NA	NA	NA	NA	NA	1	EtOH	PIRE	NA	18	NA	NA	Ambassis_interrupta	Ragay_River	Rag	NA	13.7915294	122.73659	collected	2	NA	NA	collected	NA
180118	NA	NA	NA	NA	NA	NA	NA	Albatross	Albatross	TO_ID	NA	NA	NA	NA	1	EtOH	PIRE	NA	29	NA	NA	Ambassis_interrupta	Tayabas_River	Tay	NA	13.8993676	121.620739	to_collect	2	NA	NA	to_collect	NA
180122	NA	NA	NA	NA	NA	NA	NA	Albatross	Albatross	TO_ID	NA	NA	NA	NA	1	EtOH	PIRE	NA	23	NA	NA	Ambassis_interrupta	Tayabas_River	Tay	NA	13.8993676	121.620739	to_collect	2	NA	NA	to_collect	NA
Pal-2022-04_01	2022	8	11	2022	8	11	44784	Contemporary	Abner_Eric	Abner_Eric	ODU	NA	NA	NA	1	DESS	PIRE	PAL-2022-04_01	100	NA	NA	Ambassis_kopsii	Malampaya, Palawan	Mal	Mala	NA	NA	collected	NA	NA	collected by fishermen of Pancol	collected	NA
Pal-2022-01_13	2022	8	19	2022	8	19	44792	Contemporary	Abner_Eric	Abner_Eric	ODU	NA	NA	NA	1	DESS	Connectivity	PAL-2022_01_13	14	NA	NA	Ambassis_kopsii	Narra, Palawan	Nar	Narr	NA	NA	to_collect_more	NA	NA	NA	to_collect_more	NA
180088	1909	7	30	1909	7	30	3499	Albatross	Albatross	Maddy	ODU	Y	NA	NA	1	EtOH	PIRE	NA	65	NA	34-59	Ambassis_macracanthus	Hinunangan_Bay	Hin	Hinu	10.399276	125.202656	to_collect	3	Eric_Garcia	New_lot._To_determine_priority.	to_collect	0
180096	1909	2	25	1909	2	25	3344	Albatross	Albatross	KEC_10/25/18_MK_10/26/17_ID_ok	SUML	NA	NA	NA	1	EtOH	PIRE	NA	54	64	NA	Ambassis_macracanthus	Tayabas_River	Tay	Taya	13.8993676	121.620739	to_collect	2	NA	NA	to_collect	NA
180100	1909	2	25	1909	2	25	3344	Albatross	Albatross	KEC_10/25/18_MK_11/2/17_ID_ok	SUML	NA	NA	NA	1	EtOH	PIRE	NA	60	65	NA	Ambassis_macracanthus	Tayabas_River	Tay	Taya	13.8993676	121.620739	to_collect	2	NA	NA	to_collect	NA
180090	1909	8	6	1909	8	6	3506	Albatross	Albatross	Jem_3/24/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	36	NA	34-52	Ambassis_miops	Camp_Overton	Ove	Over	8.2138629	124.203041	to_collect	2	Eric_Garcia	JGB_checked_5_individuals_&_it_keyed_out_to_A._mipos._See_detailed_ID_confirmation_notes_on_Mar_24,_2022.	to_collect	NA
180095	1908	12	31	1908	12	31	3288	Albatross	Albatross	KEC	ODU	NA	NA	NA	1	EtOH	PIRE	NA	27	NA	NA	Ambassis_miops	Nakoda_Bay	Nak	NA	9.291119	117.958053	to_collect	2	NA	KEC_identified_as_Ambassis_miops	to_collect	NA
180094	1908	12	11	1908	12	11	3268	Albatross	Albatross	Kent_Jem_3/24/2022	ODU	Y	NA	NA	1	EtOH	PIRE	NA	75	NA	15-71_most_small-mid-range	Ambassis_miops	Paluan_River	Pln	PlnR	13.4149729	120.45667	to_collect	2	Eric_Garcia	New_lot._To_determine_priority._Lot_has_mixed_sizes._There_are_2_individuals_that_are_90mm_and_the_rest_are_26-35mm._Can_still_be_subsampled_though_some_may_not_yield_50mg.	to_collect	NA
180097	1909	4	4	1909	4	4	3382	Albatross	Albatross	Kent_Jem_3/24/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	32	NA	41-67	Ambassis_miops	Puerto_Princesa	Pri	PPri	9.7488371	118.724668	to_collect	2	Eric_Garcia	001-048_extracted_June_23th_2021._Keyed_out_to_A._miops_and_looks_like_A._miops_in_Motomura._See_detailed_Transcript_on_IDs_on_March_24,_2022.	to_collect	NA
180089	1909	6	7	1909	6	7	3446	Albatross	Albatross	Kent_Jem_3/25/2022	ODU	Y	NA	NA	1	EtOH	PIRE	NA	39	NA	18-67_most_mid-large	Ambassis_miops	Yaua_River	Yau	Yaua	13.160409	123.757586	to_collect	3	Eric_Garcia	Confirmed_ID_as_Ambassis_miops._See_detailed_notes_on_Species_ID_transcript.	to_collect	NA
180061	1909	3	11	1909	3	11	3358	Albatross	Albatross	Kent_Maddy	ODU	Y	NA	NA	1	EtOH	PIRE	NA	64	NA	NA	Ambassis_urotaenia	Canmahala_Bay	Rag	RagR	13.2195058	123.041741	to_collect	3	NA	49_contemporary_subsampled.postponed_matched_NOT_close_enough._This_sp._has_one_match_only_so_far_(SanR).	to_collect	NA
180049	1908	2	6	1908	2	6	2959	Albatross	Albatross	Kent 5/20/22 SEE NOTES	ODU	Y	NA	NA	1	EtOH	PIRE	NA	26	NA	51-71	Ambassis_urotaenia	Island_off_Panabutan_Point	Pnb	Pana	7.68	122.02	to_collect	3	NA	At_ODU._extracted_4. Individual #1 best guess for reID A. buruensis	to_collect	NA
180051	1908	2	6	1908	2	6	2959	Albatross	Albatross	Kent-EG_5/18/22	ODU	Y	NA	NA	1	EtOH	PIRE	NA	4	NA	57-62	Ambassis_urotaenia	Island_off_Panabutan_Point	Pnb	Pana	7.68	122.02	to_collect	3	NA	At_ODU	to_collect	NA
Bat-2019-010_016	2019	3	25	2019	3	25	43549	Contemporary	Kent	Kent_Ivan	ODU	Check_subsampled	1.2.3.3	27	NA	EtOH	PIRE	Bat-2019-010_(016)	100	NA	NA	Ambassis_urotaenia	Jamilo_Cove	Ham	SanR	NA	NA	with_data	1	Eric_Garcia	NA	NA	NA
180050	1909	8	3	1909	8	3	3503	Albatross	Albatross	TO_ID	ODU	Y	NA	NA	1	EtOH	PIRE	NA	66	NA	48-61	Ambassis_urotaenia	Mahinog	Mah	Mahi	9.1527224	124.79724	to_collect	2	NA	At_ODU	to_collect	0
180063	1908	12	22	1908	12	22	3279	Albatross	Albatross	Kent_3/24/22	ODU	Y	NA	NA	NA	EtOH	PIRE	NA	26	NA	45-59_most_small-mid-range	Ambassis_urotaenia	Pancol	Mal	Mala	10.9551086	119.305553	to_collect	2	NA	KEC_confirmed_ID,_but_lateral_line_is_semi-interrupted_&_dorsal_fin_has_VI,_I,_9._See_detailed_notes_on_species_IDs.	to_collect	0
Cam-2019-016_030	2019	6	25	2019	6	25	43641	Contemporary	Abner_Jem_John_Rene	Abner_Jem_John_Rene	ODU	Check_subsampled	NA	NA	1	EtOH	PIRE	Cam-2019-16_(030)	1	NA	NA	Ambassis_urotaenia	Pasacao	Pas	RagR	NA	NA	sent_to_TAMUCC	1	Eric_Garcia	NA	NA	NA
Cam-2019-014_021	2019	6	23	2019	6	23	43639	Contemporary	Abner_Jem_John_Rene	Abner_Jem_John_Rene	ODU	Check_subsampled	NA	NA	1	EtOH	PIRE	Cam-2019-14_(021)	22	NA	NA	Ambassis_urotaenia	Pasacao	Pas	RagR	NA	NA	sent_to_TAMUCC	1	Eric_Garcia	NA	NA	NA
180048	1908	11	18	1908	11	18	3245	Albatross	Albatross	TO_ID	ODU	Y	NA	NA	1	EtOH	PIRE	NA	45	NA	35-45	Ambassis_urotaenia	Port_San_Vicente	Vic	Vice	18.5154096	122.138975	to_collect	1	Eric_Garcia	sent_to_TAMUCC_24_subsampled_36	to_collect	NA
444969	NA	NA	NA	NA	NA	NA	NA	Albatross	Albatross	Kent_3/24/22	ODU	Y	NA	NA	NA	EtOH	PIRE	NA	26	NA	31-54_most_mid-range	Ambassis_urotaenia	Ragay_River	Rag	RagR	13.7915294	122.73659	NA	NA	NA	Already_IDd_by_KEC_as_A._urotaenia_but_w/_note_that_lateral_line_is_interrupted.	NA	NA
Cam-2019-008_010	2019	6	21	2019	6	21	43637	Contemporary	Abner_Jem_John_Rene	Abner_Jem_John_Rene	ODU	NA	NA	NA	1	EtOH	PIRE	Cam-2019-08_(010)	1	NA	NA	Ambassis_urotaenia	Ragay_River	Rag	RagR	NA	NA	see_notes	2	Eric_Garcia	NA	NA	NA
180062	1909	2	20	1909	2	20	3339	Albatross	Albatross	Kent_Maddy	ODU	Y	1.3.1.1	33	NA	EtOH	PIRE	NA	42	NA	NA	Ambassis_urotaenia	Santiago_River	Pag	SanR	13.8565766	120.658957	with_data	1	Eric_Garcia	Pagapas_bay	with_data	NA
Luz-2017-047_001	2017	11	8	2017	11	8	43047	Contemporary	Kent	Kent_Ivan. SEE NOTES	ODU	Check_subsampled	1.1.4.2	14	1	EtOH	PIRE	Luz-2017-47_(349,_351,_354,_356)	100	NA	NA	Ambassis_urotaenia	Sorsogon_Bay	Rag	CanB	12.9520333	123.994789	Lib_Prep2	1	NA	postponed_matched_NOT_close_enough._This_sp._has_one_match_only_so_far_(SanR). Individual #'s 22 & 30 reID to A. buruensis, #39 reID to A. kopsii	NA	NA
180101	1908	12	31	1908	12	31	3288	Albatross	Albatross	TO_ID	ODU	NA	NA	NA	1	EtOH	PIRE	NA	17	NA	NA	Ambassis_vaivasensis	Nakoda_Bay	Nak	NA	9.291119	117.958053	NA	NA	NA	NA	NA	NA
94995	1908	12	22	1908	12	22	3279	Albatross	Albatross	seeNotes_Kent-EG_5/20/22	ODU	NA	NA	NA	1	EtOH	PIRE	NA	15	NA	NA	Amblyglyphidodon_aureus	Endeavor_Strait	End	Mala	10.9551086	119.305553	to_collect	2	Jem	Kent was not 100% sure of ID but probably correct species	to_collect	0
137769	1909	6	13	1909	6	13	3452	Albatross	Albatross	MK_11/8/17_ID_ok	USNM	NA	NA	NA	1	EtOH	PIRE	NA	80	40	NA	Andamia_heteroptera	Maculabo_Id	Mac	NA	14.4009069	122.803862	NA	NA	NA	NA	NA	NA
182842	1909	3	16	1909	3	16	3363	Albatross	Albatross	NA	ODU	NA	NA	NA	1	EtOH	PIRE	NA	21	NA	46-74_most_mid-large	Antigonia_capros	Capitancillo_Island_Light,_S._46_degrees_W.,_15.7_miles _[Chart_corrected]	NA	NA	11.1666768	124.2875	do_not_collect	NA	NA	Deep_water_trawl,_Kent_listed_as_Do_Not_Collect	do_not_collect	NA
169599	1908	12	19	1908	12	19	3276	Albatross	Albatross	TO_ID	USNM_to_bring	NA	NA	NA	1	EtOH	PIRE	NA	125	34	NA	Apogon_lateralis	Malcochin_Harbor	Lin	Lina	11.9943675	120.210059	collected	NA	NA	Lot_is_still_at_USNM._Collection_already_made_see_COR-2022-01_001_Fibramia_lateralis_lot._However,_differences_in_description_is_evident_in_Allen_and_Erdmann_2012_and_Kuiter_&_Kozawa_2019._Therefore,_if_this_Albatross_&_Contemporary_lot_will_be_used,_barcoding_would_be_required.	collected_full	NA
Jol-2021-04_01	2021	12	13	2021	12	13	44543	Contemporary	Abner	Abner	NA	NA	NA	NA	1	DESS	PIRE	Jol_04_01	11	NA	NA	Arothron_manillensis	Jolo	Jolo	Jolo	NA	NA	NA	NA	NA	NA	NA	NA
161218	1909	3	22	1909	3	22	3369	Albatross	Albatross	TO_ID	ODU	NA	NA	NA	1	EtOH	PIRE	NA	26	NA	NA	Asterropteryx_semipunctata	Cebu_Market	Ceb	NA	10.2950309	123.912569	to_collect	1	NA	Allen&Erdmann_distribution:_Australia_to_Japan	to_collect	NA
Bat-2019-010_017	2019	3	25	2019	3	25	43549	Contemporary	Kent	Kent_Ivan	ODU	Check_refrigerator	NA	NA	2	EtOH	PIRE	Bat-2019-010_(017)	57	NA	NA	Atherinidae_Mixed	Jamilo_Cove	Ham	SanR	NA	NA	pending	0	NA	NA	NA	NA
136818	1908	12	19	1908	12	19	3276	Albatross	Albatross	Kent_3/25/22	ODU	NA	NA	NA	1	EtOH	PIRE	NA	15	60	28-52_Aen_most-mid-large_28-69_Adu_most_mid-large_Hte_58_one_fish	Atherinidae_Mixed	Malcochin_Harbor	Lin	Lina	11.4906669	119.828165	to_collect	1	Eric_Garcia	two_lots_from_same_locations._This_is_a_mixed_lot!_KEC_found_A._duodecimalis_(15),_H._temminckii_(1),_and_A._endrachtensis_(24)_inside_the_jar. Individuals column used to say ""15 (out of 40)""	to_collect	0
Sem-2023-04_01	2023	4	16	2023	4	16	45032	Contemporary	KEC et al.	Kent_Abner	ODU	NA	NA	NA	1	DESS	PIRE	NA	35	NA	NA	Atherinomorous_duodecimalis	Atherinomorous_duodecimalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
NA	2023	6	12	2023	6	12	45089	Contemporary	AB	NA	ODU	NA	NA	NA	1	DESS	NA	NA	110	NA	NA	Atherinomorous_duodecimalis	Bais, Negros Or.	NA	NA	6.1098091	120.977508	collected	NA	NA	NA	NA	NA
Bol-2022-02_02	2022	7	25	2022	7	25	44767	Contemporary	Abner_Eric	Abner_Eric	ODU	NA	NA	NA	1	DESS	PIRE	Bol-2022-02_02	47	NA	NA	Atherinomorous_duodecimalis	Bolinao_Landing	Bol	Bln	16.4238962	119.940735	see_notes	0	Eric_Garcia	replicates 136851	NA	NA
Bol-2022-02_01	2022	7	24	2022	7	24	44766	Contemporary	Abner_Eric	Abner_Eric	ODU	NA	NA	NA	1	DESS	PIRE	Bol-2022-02_01	57	NA	NA	Atherinomorous_duodecimalis	Bolinao_Landing	Bol	Bln	16.4238962	119.940735	see_notes	0	Eric_Garcia	replicates 136851	NA	NA
Mas-2022-03_02	2022	4	19	2022	4	19	44670	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	MAS-2022-03_02	100	NA	NA	Atherinomorous_duodecimalis	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
Mas-2022-02_02	2022	4	18	2022	4	18	44669	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	MAS-2022-02_02	65	NA	NA	Atherinomorous_duodecimalis	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
136849	NA	NA	NA	NA	NA	NA	NA	Albatross	NA	To_ID	USNM_to_bring	NA	NA	NA	NA	EtOH	PIRE	NA	23	NA	NA	Atherinomorous_duodecimalis	Port_Caltom	Bus	Busu	12.1858224	120.10223	NA	NA	NA	Matches w/ COR-2022-01_003 which was IDd as A. regina. ID this lot first before using this plus match.	NA	NA
Rag-2022-02_01	2022	4	23	2022	4	23	44674	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	RAG-2022-02_02, see notes	100	NA	NA	Atherinomorous_duodecimalis	San Rafael, Ragay	NA	NA	13.8105766	122.72906	pending	NA	NA	caught by local fishers near Ragay River. bottle has RAG-2022-02_02, but same LOT ID on Ambassis interrupta already, changed LOT IT to RAG-2022-02_01	NA	NA
Tic-2022-01_01	2022	4	25	2022	4	25	44676	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	TIC-2022-01_01	110	NA	NA	Atherinomorous_duodecimalis	Ticao	NA	NA	12.6416263	123.612489	pending	NA	NA	caught using seine and gillnet	NA	NA
Sip-2023-03_01	2023	3	22	2023	3	22	45007	Contemporary	KEC et al.	Kent_Abner	ODU	NA	NA	NA	1	DESS	Connectivity	NA	38	NA	NA	Atherinomorous_duodecimalis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sam-2022-02_03	2022	2	3	2022	2	3	44595	Contemporary	Kent&Abner	Kent	NA	NA	NA	NA	1	DESS	Connectivity	Sam_02_2022_03	59	NA	NA	Atherinomorous_endrachtensis	Cabacungan,_Allen,_Northern_Samar	Cab	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mas-2022-04_01	2022	4	20	2022	4	20	44671	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	MAS-2022-04_01	12	NA	NA	Atherinomorous_endrachtensis	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
Mas-2022-04_03	2022	4	20	2022	4	20	44671	Contemporary	Kent, Abner et al.	Kent 5/16/22	ODU	NA	NA	NA	1	DESS	NA	MAS-2022-04_03	91	NA	NA	Atherinomorous_endrachtensis	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
Mas-2022-01_03	2022	4	18	2022	4	18	44669	Contemporary	Kent, Abner et al.	Kent	NA	NA	NA	NA	1	DESS	NA	MAS-2022-01_03	33	NA	NA	Atherinomorous_endrachtensis	Port_Busin	Bur	NA	13.1258247	122.975714	pending	NA	NA	NA	NA	NA
Sem-2023-01_01	2023	4	13	2023	4	13	45029	Contemporary	KEC et al.	Kent_Abner	ODU	NA	NA	NA	1	DESS	Connectivity	NA	110	NA	NA	Atherinomorous_endrachtensis	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Sul-2019-03_01	NA	NA	NA	NA	NA	NA	NA	Contemporary	NA	NA	SUML	NA	NA	NA	NA	EtOH	PIRE	NA	47	NA	NA	Atherinomorous_lacunosus	Bongao_Fish_Market,_Tawi-Tawi	Taw	Tawi	NA	NA	pending	NA	Eric_Garcia	Hypoatherina_temminckii	NA	NA
Mti-2023-03_06	2023	2	22	2023	2	22	44979	Contemporary	KEC_AB_Ting	Kent_Abner	ODU	NA	NA	NA	1	DESS	Connectivity	MTI-2023_03_06	113	NA	NA	Atherinomorus endrachtensis	Tamisan, Pujada Bay	Tam	Mati	NA	NA	collected	NA	NA	NA	NA	NA
Cor-2023-05_02	2023	2	2	2023	2	2	44959	Contemporary	KEC et al.	Kent_Abner	ODU	NA	NA	NA	1	DESS	Connectivity	Cor-2023_05_02	45	NA	NA	Atherinomorus sp.	Tagumpay, Coron	NA	NA	NA	NA	NA	NA	NA	Probably A. duodecimalis(to check ID)	NA	NA
