Accession	Title	Links	Status	Release Date	Created	Updated	Submission
PRJNA1347927	Ostorhinchus_chrysopomus_1908_Catbalogan_Samar_lcwgs	"BioSample: 133, SRA: 87"	ToBeReleased	10/31/28	2025-10-23T02:02:06.893Z	2026-05-11T05:05:02.073Z	SUB15681855
PRJNA1348095	Ostorhinchus_chrysopomus_2022_Catbalogan_Samar_lcwgs	"BioSample: 174, SRA: 111"	ToBeReleased	10/31/28	2025-10-23T12:11:40.650Z	2026-05-11T05:03:16.153Z	SUB15681877
PRJNA1348148	Doboatherina_duodecimalis_1908_Bongao_Tawi-tawi_lcwgs	"BioSample: 69, SRA: 69"	ToBeReleased	10/31/28	2025-10-23T15:05:57.383Z	2026-05-11T05:02:28.510Z	SUB15727012
PRJNA1348150	Doboatherina_duodecimalis_1908_CityofGuihulngan_NegrosOriental_lcwgs	"SRA: 49, BioSample: 49"	ToBeReleased	10/31/28	2025-10-23T15:07:37.293Z	2026-05-11T05:02:26.997Z	SUB15726993
PRJNA1348151	Doboatherina_duodecimalis_1908_Nasugbu_Batangas_lcwgs	"SRA: 48, BioSample: 48"	ToBeReleased	10/31/28	2025-10-23T15:09:00.117Z	2026-05-11T05:02:26.157Z	SUB15726995
PRJNA1348152	Doboatherina_duodecimalis_1909_Matnog_Sorsogon_lcwgs	"BioSample: 74, SRA: 74"	ToBeReleased	10/31/28	2025-10-23T15:10:26.297Z	2026-05-11T05:02:25.280Z	SUB15727001
PRJNA1348153	Doboatherina_duodecimalis_2018_PuertoGalera_OrientalMindoro_lcwgs	"BioSample: 64, SRA: 64"	ToBeReleased	10/31/28	2025-10-23T15:11:53.107Z	2026-05-11T05:02:24.537Z	SUB15727019
PRJNA1348154	Doboatherina_duodecimalis_2019_Nasugbu_Batangas_lcwgs	"BioSample: 47, SRA: 47"	ToBeReleased	10/31/28	2025-10-23T15:13:19.497Z	2026-05-11T05:02:23.643Z	SUB15727031
PRJNA1348155	Doboatherina_duodecimalis_2019_Subic_Zambales_lcwgs	"BioSample: 160, SRA: 160"	ToBeReleased	10/31/28	2025-10-23T15:14:59.983Z	2026-05-11T05:02:22.740Z	SUB15727035
PRJNA1348156	Doboatherina_duodecimalis_2021_Bongao_Tawi-tawi_lcwgs	"BioSample: 64, SRA: 64"	ToBeReleased	10/31/28	2025-10-23T15:16:16.497Z	2026-05-11T05:02:21.960Z	SUB15727049
PRJNA1348159	Doboatherina_duodecimalis_2021_CityofGuihulngan_NegrosOriental_lcwgs	"SRA: 64, BioSample: 64"	ToBeReleased	10/31/28	2025-10-23T15:17:31.523Z	2026-05-11T05:02:14.903Z	SUB15727024
PRJNA1348160	Doboatherina_duodecimalis_2021_TagbilaranCity_Bohol_lcwgs	"SRA: 112, BioSample: 112"	ToBeReleased	10/31/28	2025-10-23T15:18:48.437Z	2026-05-11T05:02:14.050Z	SUB15727037
PRJNA1348161	Atherinomorus_endrachtensis_1909_Matnog_Sorsogon_lcwgs	"BioSample: 1, SRA: 1"	ToBeReleased	10/31/28	2025-10-23T15:19:42.220Z	2026-05-11T05:02:13.110Z	SUB15727058
PRJNA1348174	Doboatherina_duodecimalis_1908_Olongapo_Zambales_lcwgs	"BioSample: 164, SRA: 164"	ToBeReleased	10/31/28	2025-10-23T16:44:28.510Z	2026-05-11T05:02:01.350Z	SUB15727005
PRJNA1348179	Doboatherina_duodecimalis_1908_TagbilaranCity_Bohol_lcwgs	"BioSample: 80, SRA: 80"	ToBeReleased	10/31/28	2025-10-23T17:26:19.913Z	2026-05-11T05:01:57.260Z	SUB15727009
PRJNA1348184	Pomacentrus_brachialis_1909_Batangas_Batangas_lcwgs	"BioSample: 2, SRA: 2"	ToBeReleased	10/31/28	2025-10-23T17:59:32.173Z	2026-05-11T05:01:53.170Z	SUB15727247
PRJNA1348185	Pomacentrus_brachialis_1908_Bongao_Tawi-tawi_lcwgs	"SRA: 42, BioSample: 42"	ToBeReleased	10/31/28	2025-10-23T18:19:58.377Z	2026-05-11T05:01:52.197Z	SUB15727249
PRJNA1348186	Pomacentrus_brachialis_1909_Biri_NorthernSamar_lcwgs	"BioSample: 26, SRA: 26"	ToBeReleased	10/31/28	2025-10-23T18:22:24.563Z	2026-05-11T05:01:51.227Z	SUB15727240
PRJNA1348187	Pomacentrus_brachialis_1909_Salvacion_NorthernSamar_lcwgs	"SRA: 20, BioSample: 20"	ToBeReleased	10/31/28	2025-10-23T18:24:37.063Z	2026-05-11T05:01:50.090Z	SUB15727242
PRJNA1348188	Pomacentrus_brachialis_1909_SanPascual_Masbate_lcwgs	"SRA: 40, BioSample: 40"	ToBeReleased	10/31/28	2025-10-23T18:26:03.467Z	2026-05-11T05:01:49.093Z	SUB15727260
PRJNA1348189	Pomacentrus_brachialis_2022_Biri_NorthernSamar_lcwgs	"BioSample: 43, SRA: 43"	ToBeReleased	10/31/28	2025-10-23T18:27:28.053Z	2026-05-11T05:01:48.220Z	SUB15727253
PRJNA1348190	Pomacentrus_brachialis_2022_SanPascual_Masbate_lcwgs	"BioSample: 50, SRA: 50"	ToBeReleased	10/31/28	2025-10-23T18:28:42.370Z	2026-05-11T05:01:47.310Z	SUB15727256
PRJNA1348191	Pomacentrus_brachialis_1908_SanPascual_Masbate_lcwgs	"SRA: 64, BioSample: 64"	ToBeReleased	10/31/28	2025-10-23T18:30:02.027Z	2026-05-11T05:01:46.247Z	SUB15727243
PRJNA1348194	Pomacentrus_brachialis_1908_Batangas_Batangas_lcwgs	"BioSample: 64, SRA: 64"	ToBeReleased	10/31/28	2025-10-23T18:40:58.110Z	2026-05-11T05:01:43.537Z	SUB15727245
PRJNA1348195	Pomacentrus_brachialis_2021_Bongao_Tawi-tawi_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-10-23T18:42:21.103Z	2026-05-11T05:01:42.757Z	SUB15727258
PRJNA1348196	Pomacentrus_brachialis_2022_Allen_NorthernSamar_lcwgs	"BioSample: 73, SRA: 73"	ToBeReleased	10/31/28	2025-10-23T18:43:55.340Z	2026-05-11T05:01:41.967Z	SUB15727252
PRJNA1348198	Pomacentrus_brachialis_2022_Batangas_Batangas_lcwgs	"BioSample: 90, SRA: 90"	ToBeReleased	10/31/28	2025-10-23T19:01:08.130Z	2026-05-11T05:01:39.917Z	SUB15727259
PRJNA1348204	Spratelloides_delicatulus_2022_Taytay_Palawan_lcwgs	"BioSample: 63, SRA: 63"	ToBeReleased	10/31/28	2025-10-23T20:10:55.327Z	2026-05-11T05:01:34.307Z	SUB15681617
PRJNA1348210	Spratelloides_delicatulus_1908_Taytay_Palawan_lcwgs	"BioSample: 71, SRA: 71"	ToBeReleased	10/31/28	2025-10-23T20:57:21.103Z	2026-05-11T05:01:28.937Z	SUB15681608
PRJNA1336794	Stethojulis_interrupta_2021_Getafe_Bohol_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-09-30T19:35:09.163Z	2026-04-20T00:25:09.717Z	SUB15678650
PRJNA1336811	Sphaeramia_orbicularis_1909_SanPascual_Masbate_lcwgs	"BioSample: 71, SRA: 71"	ToBeReleased	10/31/28	2025-09-30T20:23:02.417Z	2026-04-20T00:24:57.560Z	SUB15678714
PRJNA1336813	Sphaeramia_orbicularis_2022_SanPascual_Masbate_lcwgs	"BioSample: 64, SRA: 64"	ToBeReleased	10/31/28	2025-09-30T20:25:31.093Z	2026-04-20T00:24:56.230Z	SUB15678720
PRJNA1336944	Stethojulis_interrupta_1909_Getafe_Bohol_lcwgs	"BioSample: 50, SRA: 50"	ToBeReleased	10/31/28	2025-10-01T03:50:56.140Z	2026-04-20T00:23:57.857Z	SUB15678630
PRJNA1337112	Sphaeramia_orbicularis_2021_Getafe_Bohol_lcwgs	"BioSample: 160, SRA: 160"	ToBeReleased	10/31/28	2025-10-01T13:34:42.277Z	2026-04-20T00:22:46.147Z	SUB15678705
PRJNA1337151	Sphyraena_obtusata_2021_Getafe_Bohol_lcwgs	"BioSample: 160, SRA: 160"	ToBeReleased	10/31/28	2025-10-01T18:30:42.723Z	2026-04-20T00:22:18.383Z	SUB15681586
PRJNA1337154	Sphaeramia_orbicularis_1908_CebuCity_Cebu_lcwgs	"SRA: 66, BioSample: 66"	ToBeReleased	10/31/28	2025-10-01T18:53:19.423Z	2026-04-20T00:22:16.043Z	SUB15678710
PRJNA1337165	Sphyraena_obtusata_1909_Getafe_Bohol_lcwgs	"SRA: 192, BioSample: 192"	ToBeReleased	10/31/28	2025-10-01T20:31:16.797Z	2026-04-20T00:22:09.597Z	SUB15681584
PRJNA1337169	Ostorhinchus_chrysopomus_1909_SanPascual_Masbate_lcwgs	"BioSample: 48, SRA: 48"	ToBeReleased	10/31/28	2025-10-01T20:55:21.263Z	2026-04-20T00:22:06.753Z	SUB15681867
PRJNA1337175	Lethrinus_variegatus_2021_Getafe_Bohol_lcwgs	"SRA: 144, BioSample: 144"	ToBeReleased	10/31/28	2025-10-01T22:13:16.060Z	2026-04-20T00:21:53.740Z	SUB15681988
PRJNA1337420	Lethrinus_variegatus_1909_Getafe_Bohol_lcwgs	"SRA: 141, BioSample: 141"	ToBeReleased	10/31/28	2025-10-02T12:43:54.523Z	2026-04-20T00:20:06.753Z	SUB15681985
PRJNA1337492	Hypoatherina_temminckii_1908_Bongao_Tawi-tawi_lcwgs	"SRA: 126, BioSample: 126"	ToBeReleased	10/31/28	2025-10-03T00:17:29.240Z	2026-04-20T00:19:13.043Z	SUB15683565
PRJNA1337493	Hypoatherina_temminckii_1908_Bulan_Sorsogon_lcwgs	"SRA: 3, BioSample: 3"	ToBeReleased	10/31/28	2025-10-03T00:19:23.367Z	2026-04-20T00:19:12.317Z	SUB15683563
PRJNA1337494	Hypoatherina_temminckii_1908_Jolo_Sulu_lcwgs	"BioSample: 144, SRA: 144"	ToBeReleased	10/31/28	2025-10-03T00:21:13.537Z	2026-04-20T00:19:11.590Z	SUB15683567
PRJNA1337495	Hypoatherina_temminckii_1908_Masinloc_Zambales_lcwgs	"BioSample: 98, SRA: 98"	ToBeReleased	10/31/28	2025-10-03T00:23:07.263Z	2026-04-20T00:19:10.820Z	SUB15683564
PRJNA1337496	Hypoatherina_temminckii_1908_SanPascual_Masbate_lcwgs	"BioSample: 143, SRA: 143"	ToBeReleased	10/31/28	2025-10-03T00:25:54.167Z	2026-04-20T00:19:10.063Z	SUB15683566
PRJNA1337498	Hypoatherina_temminckii_1909_Getafe_Bohol_lcwgs	"SRA: 64, BioSample: 64"	ToBeReleased	10/31/28	2025-10-03T00:27:28.690Z	2026-04-20T00:19:07.860Z	SUB15683568
PRJNA1337499	Hypoatherina_temminckii_2017_Bulan_Sorsogon_lcwgs	"BioSample: 63, SRA: 63"	ToBeReleased	10/31/28	2025-10-03T00:29:01.487Z	2026-04-20T00:19:07.153Z	SUB15683570
PRJNA1337500	Hypoatherina_temminckii_2019_Palaulg_Zambales_lcwgs	"BioSample: 106, SRA: 106"	ToBeReleased	10/31/28	2025-10-03T00:30:48.750Z	2026-04-20T00:19:06.400Z	SUB15683572
PRJNA1337501	Hypoatherina_temminckii_2021_Bongao_Tawi-tawi_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-10-03T00:32:28.263Z	2026-04-20T00:19:05.780Z	SUB15683576
PRJNA1337502	Hypoatherina_temminckii_2021_Getafe_Bohol_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-10-03T00:34:21.603Z	2026-04-20T00:19:05.020Z	SUB15683577
PRJNA1337503	Hypoatherina_temminckii_2021_PanglimaEstino_Sulu_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-10-03T00:35:59.643Z	2026-04-20T00:19:04.340Z	SUB15683588
PRJNA1337504	Hypoatherina_temminckii_2022_SanPascual_Masbate_lcwgs	"BioSample: 112, SRA: 112"	ToBeReleased	10/31/28	2025-10-03T00:37:39.750Z	2026-04-20T00:19:03.603Z	SUB15683584
PRJNA1337505	Hypoatherina_panatela_1908_Bulan_Sorsogon_lcwgs	"SRA: 78, BioSample: 78"	ToBeReleased	10/31/28	2025-10-03T00:45:00.587Z	2026-04-20T00:19:02.547Z	SUB15683518
PRJNA1333897	Spratelloides_gracilis_1908_Masinloc_Zambales_lcwgs	"BioSample: 88, SRA: 88"	ToBeReleased	10/31/28	2025-09-24T15:18:19.813Z	2026-04-12T23:49:52.557Z	SUB15663567
PRJNA1333907	Spratelloides_gracilis_1909_Salvacion_NorthernSamar_lcwgs	"BioSample: 47, SRA: 47"	ToBeReleased	10/31/28	2025-09-24T15:41:57.813Z	2026-04-12T23:49:45.453Z	SUB15663801
PRJNA1333910	Spratelloides_gracilis_2019_Palaulg_Zambales	"BioSample: 63, SRA: 63"	ToBeReleased	10/31/28	2025-09-24T15:46:40.380Z	2026-04-12T23:49:43.270Z	SUB15663853
PRJNA1333913	Spratelloides_gracilis_2022_Biri_NorthernSamar	"SRA: 64, BioSample: 64"	ToBeReleased	10/31/28	2025-09-24T15:54:27.583Z	2026-04-12T23:49:41.227Z	SUB15663877
PRJNA1333924	Spratelloides_gracilis_2021_HadjiPanglimaTahil_Sulu	"SRA: 58, BioSample: 58"	ToBeReleased	10/31/28	2025-09-24T16:16:40.243Z	2026-04-12T23:49:33.527Z	SUB15663888
PRJNA1333975	Spratelloides_gracilis_1909_HadjiPanglimaTahil_Sulu_lcwgs	"BioSample: 78, SRA: 78"	ToBeReleased	10/31/28	2025-09-24T19:06:12.587Z	2026-04-12T23:48:57.303Z	SUB15663737
