lot_id	site_id	match_id	collection_site	latitude	longitude	barangay	local_government_unit	province	region	island_group	notes
97608	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97609	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97610	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97611	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97612	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97614	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97617	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97638	Bir	Bali	Biri_Channel	12.621885	124.3965	NA	Biri	Northern Samar	Eastern Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97660	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97661	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97662	Bir	Bali	Biri_Channel	12.621885	124.3965	NA	Biri	Northern Samar	Eastern Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97665	Bir	Bali	Biri_Channel	12.621885	124.3965	NA	Biri	Northern Samar	Eastern Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97670	Rom	Romb	Romblon_Harbor	12.5789662	122.2676674	Capaclan	Romblon	Romblon	MIMAROPA	Luzon	location info from Albatross collection site google map (Malin 2026-04-08)
97672	Mar	PGal	Maricaban_Is	13.6791984	120.840502	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97675	Pal	Bali	NA	12.6347634	125.00979	NA	Laoang	Northern Samar	Eastern Visayas	Visayas	Port Palapag
97686	Gal	PGal	Puerto_Galera	13.5722403	121.085873	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
97690	Bur	Buri	Alimango_Bay	13.091115	122.9513	NA	San Pascual	Masbate	Bicol	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97693	Bir	Bali	Biri_Channel	12.621885	124.3965	NA	Biri	Northern Samar	Eastern Visayas	Visayas	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97714	Mar	PGal	Port_Maricaban	13.6791984	120.840502	San Andres	Batangas	Batangas	CALABARZON	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97715	Mar	PGal	Port_Maricaban	13.6791984	120.840502	San Andres	Batangas	Batangas	CALABARZON	Luzon	"location info infered from lotID sheet and other lots with same """"collection_site"""" column. JDS 9.29.2025"
97783	Pnd	Pand	Pandanon_Id	10.1796678	124.090001	Pandanon	Getafe	Bohol	Central Visayas	Visayas	NA
99660	Bit	Bito	Bito_River	NA	NA	NA	NA	NA	NA	NA	NA
112159	Ros	Rosa	Rosa_Id	13.7167102	123.576012	San Andres	Batangas	Batangas	CALABARZON	Luzon	NA
