Family	Family_Ecology	Genera_in_Fam	Spp_in_Fam	Spp_in_genus	Species_Albatross_name	Species_valid_name	Species_Code	Common_name	General_Fishing_Pressure	Different_fishing_pressure_depending_on_locality	Habitat_1	Authority	No_of_Alb_sites	Alb_sites	USNM_lot_No_(number_of_indiv)	No_of_C_sites	C_sites	Fising_pressure?	Trophic_group	Diet	Habitat_2	Depth_(m)	Behavior	Global_Distribution 	Regional_Distribution	Max_Length_(cm)	Notes	Red_list_status	References
Apogonidae	Tropical_and_subtropical	41	353	14	Archamia_biguttata	Taeniamia_biguttata	Tbi	Twinspot_cardinalfish	unfished	N	NA	Lachner,_1851	2	Bolinao_Bay,_Rosa_Id	112160(40),_112159(33)	1	San_Jose	NA	NA	NA	Marine;_reef-associated	33	Occurs_in_inshore_reefs_of_bays_or_lagoons._Typically_hovering_in_small_groups_in_the_recesses_of_caves	Western_Pacific	_Sumatra_to_Tonga_and_Vanuatu,_north_to_the_Ryukyu_Islands_and_south_to_Australia;_also_Palau_and_Mariana_Islands_in_Micronesia	11	Mouthbrooders	Not_Evaluated	Fishbase- Gon,_O._and_J.E._Randall,_2003._Revision_of_the_Indo-Pacific_cardinalfish_genus_Archamia_(Perciformes:_Apogonidae),_with_description_of_a_new_species._Indo-Pac._Fish._(35):49_p._(Ref._54391)
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	14	Archamia_zosterophora	Taeniamia_fucata	Tfu	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	NA	NA	NA	NA	Taeniamia_kagoshimanus	Taeniamia_kagoshimanus	Tka	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	Tropical_and_subtropical	41	353	14	Archamia_zosterophora	Taeniamia_zosterophora	Tzo	Blackbelted_cardinalfish	M (aquarium fishing, not top)	Y	NA	Bleeker,_1856	5	Bolalo_Bay,_Mantacao_Id._[Mantatao],_Port_Matalvi_reef,_Port_Uson,_Tutu_Bay,_Jolo (Palawan_Bolalo_Bay,_Zambales,_Busuanga,_Bohol)	171321(211),_171348(32),_171322(21),_153212(21)+105579(1) - (Palawan_171321(211),_Zambales_171322(49),_Busuanga_171324(33),_Bohol_171348(32))	NA	NA	NA	NA	NA	Marine;_reef-associated	1-40	Forms_dense_aggregations_above_or_among_the_branches_of_Porites_cylindrica_and_other_branching_corals_of_sheltered_lagoons_and_inshore_bays;_over_sandy_bottom_at_depths_of_1-40_meters	Western_Pacific	ndonesia_to_Vanuatu,_north_to_the_Ryukyu_Islands,_south_to_Australia	8	Mouthbrooders	Not_Evaluated	Fishbase-_Gon,_O._and_J.E._Randall,_2003._Revision_of_the_Indo-Pacific_cardinalfish_genus_Archamia_(Perciformes:_Apogonidae),_with_description_of_a_new_species._Indo-Pac._Fish._(35):49_p._(Ref._54391)
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	6	Zoramia_fragilis	Zoramia_fragilis	Zfr	Fragile_cardinalfish	unfished	N	NA	Smith,_1961	7	Machesi_Id._[Makesi],_Mantaguin_Bay,_Port_Uson,_Tutu_Bay,_Port_Matalvi_reef,_Varadero_Bay,_Ragay_River	NA	NA	NA	NA	NA	NA	Marine;_reef-associated	15	Occurs_in_sheltered_lagoons_and_bays,_above_branching_corals_and_among_reef_crevices._Forms_large_schools,_often_with_other_species	Indo-West_Pacific	East_Africa_to_Samoa,_north_to_the_Yaeyamas,_south_to_the_Great_Barrier_Reef	5.5	Mouthbrooders	Not_Evaluated	Fishbase-_Myers,_R.F.,_1991._Micronesian_reef_fishes._Second_Ed._Coral_Graphics,_Barrigada,_Guam._298_p._(Ref._1602)
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	6	Zoramia_gilberti	Zoramia_gilberti	Zgi	Gilbert's_cardinalfish	unfished	N	NA	Jordan_&_Seale,_1905_	1	Palag_Bay	NA	NA	NA	NA	NA	NA	Marine;_reef-associated	10	In_large_aggregations_among_branching_corals_in_sheltered_lagoons_and_bays_(Ref._9710),_Distinct_pairing_during_courtship_and_spawning	Indo-Pacific	_Japan_(Ref._559)_to_Australia_(Ref._75154);_Komodo,_Indonesia_to_Solomon_Islands_(Ref._90102)	5.5	Mouthbrooders	Not_Evaluated	Fishbase-_Myers,_R.F.,_1991._Micronesian_reef_fishes._Second_Ed._Coral_Graphics,_Barrigada,_Guam._298_p._(Ref._1602)
Apogonidae	Tropical_and_subtropical._up_to_300m,_coral_and_rocky_reef	41	353	6	Zoramia_viridiventer	Zoramia_viridiventer	Zvi	NA	unfished	N	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Atherinidae	NA	NA	NA	NA	NA	Hypoatherina_panatela	Hpa	Panatela silverside	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pomacentridae	NA	NA	NA	NA	NA	Dascyllus_aruanus	Dar	Whitetail dascyllus	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Syngnathidae	NA	NA	NA	NA	NA	Corythoichthys_haematopterus	Cha	Messmate pipefish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Leiognathidae	NA	NA	NA	NA	NA	Equulites_leuciscus	Lle	Whipfin ponyfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lethrinidae	NA	NA	NA	NA	NA	Lethrinus_variegatus	Lva	slender emperor	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Mullidae	NA	NA	NA	NA	NA	Parupeneus_barberinus	Pba	Dash-and-dot goatfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Pomacentridae	NA	NA	NA	NA	NA	Pomacentrus_pavo	Ppa	Sapphire damsel	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Labridae	NA	NA	NA	NA	NA	Stethojulis_interrupta	Sin	Cutribbon wrasse	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Belonidae	NA	NA	NA	NA	NA	Tylosurus_crocodilus	Tcr	Houndfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Zenarchopteridae	NA	NA	NA	NA	NA	Zerchopterus_dispar	Zdi	feathered river garfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Apogonidae	NA	NA	NA	NA	NA	Zoramia_perlita	Zpr	Pearly cardinalfish	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
