individual_id	tissue_id	extraction_id	storage_solution	date_subsampling	subsampler	date_extracting	tube_stuffer	mg_tissue_extracted	digestion_min	extractor	extraction_tubeid	plateid	elution_buffer	num_elutions	elution1_plateid	elution1_plate_column	elution1_plate_row	elution1_total_volume_ul	elution1_vol_for_tamucc	elution1_vol_for_odu	elution1_nanodrop_ng_ul	elution2_plateid	elution2_plate_column	elution2_plate_row	elution2_total_volume_ul	elution2_vol_for_tamucc	elution2_vol_for_odu	elution2_nanodrop_ng_ul	elution3_plateid	elution3_plate_column	elution3_plate_row	elution3_total_volume_ul	elution3_vol_for_tamucc	elution3_vol_for_odu	elution3_nanodrop_ng_ul	elution4_plateid	elution4_plate_column	elution4_plate_row	elution4_total_volume_ul	elution4_vol_for_tamucc	elution4_vol_for_odu	elution4_nanodrop_ng_ul	date_gelled_odu	odu_volume_gelled_ul	odu_gel_jockey	elution1_gel_score_tamucc	elution2_gel_score_tamucc	elution3_gel_score_tamucc	elution4_gel_score_tamucc	elution_used	notes
Abu-ADup_021	Abu-ADup_021-mus	Abu-ADup_021-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_022	Abu-ADup_022-mus	Abu-ADup_022-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_023	Abu-ADup_023-mus	Abu-ADup_023-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_024	Abu-ADup_024-mus	Abu-ADup_024-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_025	Abu-ADup_025-mus	Abu-ADup_025-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_026	Abu-ADup_026-mus	Abu-ADup_026-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_027	Abu-ADup_027-mus	Abu-ADup_027-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_028	Abu-ADup_028-mus	Abu-ADup_028-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_029	Abu-ADup_029-mus	Abu-ADup_029-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_030	Abu-ADup_030-mus	Abu-ADup_030-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_031	Abu-ADup_031-mus	Abu-ADup_031-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_032	Abu-ADup_032-mus	Abu-ADup_032-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_033	Abu-ADup_033-mus	Abu-ADup_033-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_034	Abu-ADup_034-mus	Abu-ADup_034-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_035	Abu-ADup_035-mus	Abu-ADup_035-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_036	Abu-ADup_036-mus	Abu-ADup_036-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_037	Abu-ADup_037-mus	Abu-ADup_037-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_038	Abu-ADup_038-mus	Abu-ADup_038-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_039	Abu-ADup_039-mus	Abu-ADup_039-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_040	Abu-ADup_040-mus	Abu-ADup_040-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Abu-ADup_041	Abu-ADup_041-mus	Abu-ADup_041-Ex1	EtOH	NA	NA	NA	NA	NA	NA	NA	NA	NA	EB	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
