gcl_sequence_id	pire_sequence_id	extraction_id
AbC0203907D	Abu-CPnd_039-Ex1-7D-lcwgs-1-2	Abu-CPnd_039-Ex1
AbC0204907E	Abu-CPnd_049-Ex1-7E-lcwgs-1-2	Abu-CPnd_049-Ex1
AbA0600304G	Abu-APnd_003-Ex1-4G-lcwgs-1-2	Abu-APnd_003-Ex1
AbA0601706E	Abu-APnd_017-Ex1-6E-lcwgs-1-2	Abu-APnd_017-Ex1
AbA0601406B	Abu-APnd_014-Ex1-6B-lcwgs-1-2	Abu-APnd_014-Ex1
AbA0602208F	Abu-APnd_022-Ex1-8F-lcwgs-1-2	Abu-APnd_022-Ex1
AbA0602408H	Abu-APnd_024-Ex1-8H-lcwgs-1-2	Abu-APnd_024-Ex1
AbA0603008B	Abu-APnd_030-Ex1-8B-lcwgs-1-2	Abu-APnd_030-Ex1
AbA0600104E	Abu-APnd_001-Ex1-4E-lcwgs-1-T	Abu-APnd_001-Ex1
AbA0600204F	Abu-APnd_002-Ex1-4F-lcwgs-1-T	Abu-APnd_002-Ex1
AbA0600304G	Abu-APnd_003-Ex1-4G-lcwgs-1-T	Abu-APnd_003-Ex1
AbA0600404H	Abu-APnd_004-Ex1-4H-lcwgs-1-T	Abu-APnd_004-Ex1
AbA0600505A	Abu-APnd_005-Ex1-5A-lcwgs-1-T	Abu-APnd_005-Ex1
AbA0600605B	Abu-APnd_006-Ex1-5B-lcwgs-1-T	Abu-APnd_006-Ex1
AbA0600705C	Abu-APnd_007-Ex1-5C-lcwgs-1-T	Abu-APnd_007-Ex1
AbA0600805D	Abu-APnd_008-Ex1-5D-lcwgs-1-T	Abu-APnd_008-Ex1
AbA0600905E	Abu-APnd_009-Ex1-5E-lcwgs-1-T	Abu-APnd_009-Ex1
AbA0601005F	Abu-APnd_010-Ex1-5F-lcwgs-1-T	Abu-APnd_010-Ex1
AbA0601105G	Abu-APnd_011-Ex1-5G-lcwgs-1-T	Abu-APnd_011-Ex1
AbA0601205H	Abu-APnd_012-Ex1-5H-lcwgs-1-T	Abu-APnd_012-Ex1
AbA0601306A	Abu-APnd_013-Ex1-6A-lcwgs-1-T	Abu-APnd_013-Ex1
AbA0601406B	Abu-APnd_014-Ex1-6B-lcwgs-1-T	Abu-APnd_014-Ex1
AbA0601506C	Abu-APnd_015-Ex1-6C-lcwgs-1-T	Abu-APnd_015-Ex1
AbA0601606D	Abu-APnd_016-Ex1-6D-lcwgs-1-T	Abu-APnd_016-Ex1
AbA0601706E	Abu-APnd_017-Ex1-6E-lcwgs-1-T	Abu-APnd_017-Ex1
AbA0601806F	Abu-APnd_018-Ex1-6F-lcwgs-1-T	Abu-APnd_018-Ex1
AbA0601906G	Abu-APnd_019-Ex1-6G-lcwgs-1-T	Abu-APnd_019-Ex1
AbA0602006H	Abu-APnd_020-Ex1-6H-lcwgs-1-T	Abu-APnd_020-Ex1
AbA0603307A	Abu-APnd_033-Ex1-7A-lcwgs-1-T	Abu-APnd_033-Ex1
AbA0603407B	Abu-APnd_034-Ex1-7B-lcwgs-1-T	Abu-APnd_034-Ex1
AbA0603507C	Abu-APnd_035-Ex1-7C-lcwgs-1-T	Abu-APnd_035-Ex1
AbA0603607D	Abu-APnd_036-Ex1-7D-lcwgs-1-T	Abu-APnd_036-Ex1
AbA0602507E	Abu-APnd_025-Ex1-7E-lcwgs-1-T	Abu-APnd_025-Ex1
AbA0602607F	Abu-APnd_026-Ex1-7F-lcwgs-1-T	Abu-APnd_026-Ex1
AbA0602707G	Abu-APnd_027-Ex1-7G-lcwgs-1-T	Abu-APnd_027-Ex1
AbA0602807H	Abu-APnd_028-Ex1-7H-lcwgs-1-T	Abu-APnd_028-Ex1
AbA0602908A	Abu-APnd_029-Ex1-8A-lcwgs-1-T	Abu-APnd_029-Ex1
AbA0603008B	Abu-APnd_030-Ex1-8B-lcwgs-1-T	Abu-APnd_030-Ex1
AbA0603108C	Abu-APnd_031-Ex1-8C-lcwgs-1-T	Abu-APnd_031-Ex1
AbA0603208D	Abu-APnd_032-Ex1-8D-lcwgs-1-T	Abu-APnd_032-Ex1
AbA0602108E	Abu-APnd_021-Ex1-8E-lcwgs-1-T	Abu-APnd_021-Ex1
AbA0602208F	Abu-APnd_022-Ex1-8F-lcwgs-1-T	Abu-APnd_022-Ex1
AbA0602308G	Abu-APnd_023-Ex1-8G-lcwgs-1-T	Abu-APnd_023-Ex1
